"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка кнопки Remove","203","Проверка смены кнопки Add to Cart на Remove","Sauce Demo Cross Browser Suite","Sun May 24 10:40:52 UTC 2026","passed","Sun May 24 10:40:52 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldChangeAddToCartButtonToRemove"
"Проверка кнопок управления корзиной","185","Проверка отображения кнопок Checkout и Continue Shopping","Sauce Demo Cross Browser Suite","Sun May 24 10:41:21 UTC 2026","passed","Sun May 24 10:41:21 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldDisplayActionButtonsInCart"
"Проверка открытия страницы корзины и отображения заголовка 'Your Cart'","183","Проверка открытия страницы корзины и отображения заголовка 'Your Cart'","Sauce Demo Cross Browser Suite","Sun May 24 10:40:05 UTC 2026","passed","Sun May 24 10:40:05 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldBeOnCartPage"
"Проверка количества товаров","143","Проверка отображения всех товаров","Sauce Demo Cross Browser Suite","Sun May 24 10:41:26 UTC 2026","passed","Sun May 24 10:41:26 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldDisplayAllProductsOnPage"
"Проверка кнопки Cancel на странице Overview","796","Проверка возврата на страницу товаров при нажатии Cancel","Sauce Demo Cross Browser Suite","Sun May 24 10:40:26 UTC 2026","passed","Sun May 24 10:40:27 UTC 2026","tests.CheckoutOverviewTest","Edge Tests","tests.CheckoutOverviewTest","checkCancelReturnsToCart"
"Проверка добавления товара и его данных в корзине","212","Проверка добавления товара в корзину и корректности его отображения","Sauce Demo Cross Browser Suite","Sun May 24 10:40:22 UTC 2026","passed","Sun May 24 10:40:22 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldContainCorrectProductInCart"
"Добавление товара в корзину","228","Проверка добавления товара в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:40:31 UTC 2026","passed","Sun May 24 10:40:31 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldAddProductToCart"
"Проверка финального экрана успешного заказа","830","Проверка успешного оформления заказа и отображения сообщения","Sauce Demo Cross Browser Suite","Sun May 24 10:40:12 UTC 2026","passed","Sun May 24 10:40:13 UTC 2026","tests.CheckoutCompleteTest","Chrome Tests","tests.CheckoutCompleteTest","checkSuccessMessageDisplayed"
"Проверка ошибок авторизации при некорректных данных","401","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 10:40:18 UTC 2026","passed","Sun May 24 10:40:19 UTC 2026","tests.LoginTest","Edge Tests","tests.LoginTest","checkNegativeLogin"
"Проверка добавления товара и его данных в корзине","195","Проверка добавления товара в корзину и корректности его отображения","Sauce Demo Cross Browser Suite","Sun May 24 10:40:22 UTC 2026","passed","Sun May 24 10:40:22 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldContainCorrectProductInCart"
"Удаление товара через кнопку Remove","10276","Проверка удаления товара из корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:40:33 UTC 2026","passed","Sun May 24 10:40:43 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldRemoveProductFromCart"
"Проверка кнопки Remove","247","Проверка смены кнопки Add to Cart на Remove","Sauce Demo Cross Browser Suite","Sun May 24 10:40:52 UTC 2026","passed","Sun May 24 10:40:52 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldChangeAddToCartButtonToRemove"
"Проверка корректного отображения товаров и user info на Overview странице","694","Проверка отображения товаров и информации пользователя на странице Overview","Sauce Demo Cross Browser Suite","Sun May 24 10:40:10 UTC 2026","passed","Sun May 24 10:40:10 UTC 2026","tests.CheckoutOverviewTest","Edge Tests","tests.CheckoutOverviewTest","checkOverviewPageElements"
"Валидация обязательных полей checkout формы","1065","Проверка отображения ошибки при незаполненных полях формы checkout information","Sauce Demo Cross Browser Suite","Sun May 24 10:40:24 UTC 2026","passed","Sun May 24 10:40:25 UTC 2026","tests.CheckoutInformationTest","Chrome Tests","tests.CheckoutInformationTest","checkoutInformationEmptyFieldsError"
"Проверка успешной авторизации пользователя","577","Проверка успешного входа в систему с валидными учетными данными","Sauce Demo Cross Browser Suite","Sun May 24 10:39:57 UTC 2026","passed","Sun May 24 10:39:58 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка ошибок авторизации при некорректных данных","420","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 10:40:14 UTC 2026","passed","Sun May 24 10:40:15 UTC 2026","tests.LoginTest","Edge Tests","tests.LoginTest","checkNegativeLogin"
"Проверка загрузки страницы Products","160","Проверка открытия страницы продуктов и отображения заголовка","Sauce Demo Cross Browser Suite","Sun May 24 10:40:03 UTC 2026","passed","Sun May 24 10:40:03 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldBeOnProductsPage"
"Добавление нескольких товаров и проверка их отображения","274","Проверка добавления нескольких товаров в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:41:07 UTC 2026","passed","Sun May 24 10:41:08 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldContainMultipleProductsInCart"
"Удаление товара","10349","Проверка обновления счетчика корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:41:09 UTC 2026","passed","Sun May 24 10:41:19 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldDecreaseCartBadgeWhenRemovingProduct"
"Проверка корректного заполнения формы и перехода на следующий шаг checkout","1128","Проверка успешного заполнения формы checkout information и перехода на следующий шаг","Sauce Demo Cross Browser Suite","Sun May 24 10:40:07 UTC 2026","passed","Sun May 24 10:40:08 UTC 2026","tests.CheckoutInformationTest","Edge Tests","tests.CheckoutInformationTest","successCheckoutInformationFill"
"Проверка кнопки Back Home и редиректа на каталог","846","Проверка возврата на страницу товаров после завершения заказа","Sauce Demo Cross Browser Suite","Sun May 24 10:40:49 UTC 2026","passed","Sun May 24 10:40:50 UTC 2026","tests.CheckoutCompleteTest","Edge Tests","tests.CheckoutCompleteTest","checkBackHomeReturnsToProducts"
"Добавление нескольких товаров","326","Проверка увеличения счетчика корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:41:05 UTC 2026","passed","Sun May 24 10:41:06 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldIncreaseCartBadgeWhenAddingTwoProducts"
"Валидация обязательных полей checkout формы","1050","Проверка отображения ошибки при незаполненных полях формы checkout information","Sauce Demo Cross Browser Suite","Sun May 24 10:40:24 UTC 2026","passed","Sun May 24 10:40:25 UTC 2026","tests.CheckoutInformationTest","Edge Tests","tests.CheckoutInformationTest","checkoutInformationEmptyFieldsError"
"Добавление нескольких товаров и проверка их отображения","260","Проверка добавления нескольких товаров в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:41:07 UTC 2026","passed","Sun May 24 10:41:08 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldContainMultipleProductsInCart"
"Корзина становится пустой после удаления товара","10259","Проверка, что корзина пустая после удаления товара","Sauce Demo Cross Browser Suite","Sun May 24 10:40:54 UTC 2026","passed","Sun May 24 10:41:04 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldBeEmptyCartAfterRemovingProduct"
"Проверка кнопки Cancel на checkout information странице","755","Проверка возврата в корзину при нажатии кнопки Cancel","Sauce Demo Cross Browser Suite","Sun May 24 10:40:45 UTC 2026","passed","Sun May 24 10:40:45 UTC 2026","tests.CheckoutInformationTest","Chrome Tests","tests.CheckoutInformationTest","checkoutInformationCancelReturnsToCart"
"Проверка кнопок управления корзиной","202","Проверка отображения кнопок Checkout и Continue Shopping","Sauce Demo Cross Browser Suite","Sun May 24 10:41:21 UTC 2026","passed","Sun May 24 10:41:21 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldDisplayActionButtonsInCart"
"Проверка финального экрана успешного заказа","809","Проверка успешного оформления заказа и отображения сообщения","Sauce Demo Cross Browser Suite","Sun May 24 10:40:12 UTC 2026","passed","Sun May 24 10:40:13 UTC 2026","tests.CheckoutCompleteTest","Edge Tests","tests.CheckoutCompleteTest","checkSuccessMessageDisplayed"
"Добавление нескольких товаров","291","Проверка увеличения счетчика корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:41:06 UTC 2026","passed","Sun May 24 10:41:06 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldIncreaseCartBadgeWhenAddingTwoProducts"
"Проверка корректного заполнения формы и перехода на следующий шаг checkout","1226","Проверка успешного заполнения формы checkout information и перехода на следующий шаг","Sauce Demo Cross Browser Suite","Sun May 24 10:40:07 UTC 2026","passed","Sun May 24 10:40:08 UTC 2026","tests.CheckoutInformationTest","Chrome Tests","tests.CheckoutInformationTest","successCheckoutInformationFill"
"Проверка завершения заказа через кнопку Finish","777","Проверка перехода на страницу завершения заказа после нажатия Finish","Sauce Demo Cross Browser Suite","Sun May 24 10:40:47 UTC 2026","passed","Sun May 24 10:40:48 UTC 2026","tests.CheckoutOverviewTest","Edge Tests","tests.CheckoutOverviewTest","checkFinishOrder"
"Проверка текста подтверждения после оформления заказа","803","Проверка текста завершения заказа","Sauce Demo Cross Browser Suite","Sun May 24 10:40:29 UTC 2026","passed","Sun May 24 10:40:30 UTC 2026","tests.CheckoutCompleteTest","Chrome Tests","tests.CheckoutCompleteTest","checkCompleteOrderText"
"Проверка кнопки Cancel на странице Overview","775","Проверка возврата на страницу товаров при нажатии Cancel","Sauce Demo Cross Browser Suite","Sun May 24 10:40:26 UTC 2026","passed","Sun May 24 10:40:27 UTC 2026","tests.CheckoutOverviewTest","Chrome Tests","tests.CheckoutOverviewTest","checkCancelReturnsToCart"
"Удаление товара","10302","Проверка обновления счетчика корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:41:09 UTC 2026","passed","Sun May 24 10:41:19 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldDecreaseCartBadgeWhenRemovingProduct"
"Переход назад к товарам через Continue Shopping","277","Проверка возврата на страницу товаров","Sauce Demo Cross Browser Suite","Sun May 24 10:41:28 UTC 2026","passed","Sun May 24 10:41:28 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldReturnToProductsPageFromCart"
"Удаление товара через кнопку Remove","10240","Проверка удаления товара из корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:40:33 UTC 2026","passed","Sun May 24 10:40:43 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldRemoveProductFromCart"
"Переход из корзины в оформление заказа","243","Проверка перехода на Checkout страницу","Sauce Demo Cross Browser Suite","Sun May 24 10:41:25 UTC 2026","passed","Sun May 24 10:41:25 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldNavigateToCheckoutPage"
"Корзина становится пустой после удаления товара","10294","Проверка, что корзина пустая после удаления товара","Sauce Demo Cross Browser Suite","Sun May 24 10:40:54 UTC 2026","passed","Sun May 24 10:41:04 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldBeEmptyCartAfterRemovingProduct"
"Переход в корзину","254","Проверка перехода в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:41:23 UTC 2026","passed","Sun May 24 10:41:23 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldNavigateToCartPage"
"Проверка корректного отображения товаров и user info на Overview странице","696","Проверка отображения товаров и информации пользователя на странице Overview","Sauce Demo Cross Browser Suite","Sun May 24 10:40:10 UTC 2026","passed","Sun May 24 10:40:10 UTC 2026","tests.CheckoutOverviewTest","Chrome Tests","tests.CheckoutOverviewTest","checkOverviewPageElements"
"Проверка ошибок авторизации при некорректных данных","374","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 10:40:16 UTC 2026","passed","Sun May 24 10:40:17 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkNegativeLogin"
"Добавление товара в корзину","249","Проверка добавления товара в корзину","Sauce Demo Cross Browser Suite","Sun May 24 10:40:31 UTC 2026","passed","Sun May 24 10:40:31 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldAddProductToCart"
