"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавления товара и его данных в корзине","10105","Проверка добавления товара в корзину и корректности его отображения","Sauce Demo Cross Browser Suite","Sun May 24 09:54:58 UTC 2026","broken","Sun May 24 09:55:08 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldContainCorrectProductInCart"
"Удаление товара через кнопку Remove","10091","Проверка удаления товара из корзины","Sauce Demo Cross Browser Suite","Sun May 24 09:57:49 UTC 2026","broken","Sun May 24 09:57:59 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldRemoveProductFromCart"
"Проверка кнопки Cancel на checkout information странице","1186","Проверка возврата в корзину при нажатии кнопки Cancel","Sauce Demo Cross Browser Suite","Sun May 24 09:58:00 UTC 2026","passed","Sun May 24 09:58:01 UTC 2026","tests.CheckoutInformationTest","Edge Tests","tests.CheckoutInformationTest","checkoutInformationCancelReturnsToCart"
"Проверка ошибок авторизации при некорректных данных","836","Проверка негативных сценариев логина с невалидными данными","Sauce Demo Cross Browser Suite","Sun May 24 09:53:42 UTC 2026","passed","Sun May 24 09:53:43 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkNegativeLogin"
"Проверка успешной авторизации пользователя","1598","Проверка успешного входа в систему с валидными учетными данными","Sauce Demo Cross Browser Suite","Sun May 24 09:51:03 UTC 2026","passed","Sun May 24 09:51:04 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка количества товаров","10163","Проверка отображения всех товаров","Sauce Demo Cross Browser Suite","Sun May 24 10:05:36 UTC 2026","failed","Sun May 24 10:05:46 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldDisplayAllProductsOnPage"
"Проверка корректного отображения товаров и user info на Overview странице","10076","Проверка отображения товаров и информации пользователя на странице Overview","Sauce Demo Cross Browser Suite","Sun May 24 09:52:47 UTC 2026","broken","Sun May 24 09:52:57 UTC 2026","tests.CheckoutOverviewTest","Edge Tests","tests.CheckoutOverviewTest","checkOverviewPageElements"
"Проверка кнопки Back Home и редиректа на каталог","10070","Проверка возврата на страницу товаров после завершения заказа","Sauce Demo Cross Browser Suite","Sun May 24 09:59:16 UTC 2026","broken","Sun May 24 09:59:26 UTC 2026","tests.CheckoutCompleteTest","Chrome Tests","tests.CheckoutCompleteTest","checkBackHomeReturnsToProducts"
"Удаление товара","10365","Проверка обновления счетчика корзины","Sauce Demo Cross Browser Suite","Sun May 24 10:02:46 UTC 2026","broken","Sun May 24 10:02:56 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldDecreaseCartBadgeWhenRemovingProduct"
"Переход из корзины в оформление заказа","10064","Проверка перехода на Checkout страницу","Sauce Demo Cross Browser Suite","Sun May 24 10:04:53 UTC 2026","broken","Sun May 24 10:05:03 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldNavigateToCheckoutPage"
"Проверка корректного отображения товаров и user info на Overview странице","10115","Проверка отображения товаров и информации пользователя на странице Overview","Sauce Demo Cross Browser Suite","Sun May 24 09:52:47 UTC 2026","broken","Sun May 24 09:52:57 UTC 2026","tests.CheckoutOverviewTest","Chrome Tests","tests.CheckoutOverviewTest","checkOverviewPageElements"
"Переход назад к товарам через Continue Shopping","10056","Проверка возврата на страницу товаров","Sauce Demo Cross Browser Suite","Sun May 24 10:06:18 UTC 2026","broken","Sun May 24 10:06:28 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldReturnToProductsPageFromCart"
